date,cases,week_mean_cases,tests,week_mean_tests,R_eff,sigma_cases,sigma_tests
2020-04-01,549,347.0,16834,16462.14285714286,1.11090434164789,115.85582172930037,24431.93459054634
2020-04-02,438,310.0,75356,14845.857142857143,1.0576627416981,81.78368681204968,24726.33515348461
2020-04-03,411,286.85714285714283,6153,4871.0,1.01250422751188,63.06782872755461,1103.7385818856098
2020-04-04,253,279.14285714285717,5791,5200.0,0.957269714021202,49.18602754972645,1646.584603700295
2020-04-05,183,272.0,4282,5263.0,0.900201323176993,55.667379522096624,1676.1625389987862
2020-04-06,306,261.7142857142857,2880,5208.714285714285,0.865788307579368,74.59550788028973,1712.8079463922654
2020-04-07,289,230.42857142857142,3939,5302.285714285715,0.836884579090332,93.09266833622927,1597.0104851865933
2020-04-08,290,210.57142857142858,5520,5223.0,0.775237673804113,93.30572964011091,1674.615776827628
2020-04-09,276,187.57142857142858,5532,5149.428571428572,0.751762448243621,90.69864882102259,1671.2609317640427
2020-04-10,357,164.0,8456,5218.428571428572,0.773092463505526,85.97175615946703,1695.427367711066
2020-04-11,203,127.28571428571429,6232,4932.714285714285,0.780901208007935,36.153301709384664,1230.5401501879123
2020-04-12,111,106.85714285714286,3902,4993.857142857143,0.736842586332865,26.78714281904965,1302.1304991185384
2020-04-13,87,97.71428571428571,3535,4909.571428571428,0.705654710790084,33.813413592471115,1386.443018987062
2020-04-14,150,95.0,3384,4933.857142857143,0.68956772724664,35.29467786670231,1363.4508140923087
2020-04-15,129,83.57142857142857,5005,5317.428571428572,0.691492626067991,27.78929466465789,1246.1133698874453
2020-04-16,111,75.57142857142857,6015,6427.571428571428,0.695342417173944,20.72167355939285,2872.91155734501
2020-04-17,100,68.28571428571429,6456,6145.571428571428,0.726683728849742,15.219482680473225,2993.9029880810795
2020-04-18,60,65.28571428571429,6660,6202.0,0.76070166898739,9.764575708934322,3002.930949208504
2020-04-19,47,65.57142857142857,3312,6451.0,0.743560704089006,9.634123028621351,3101.239153260239
2020-04-20,68,63.857142857142854,3705,6912.428571428572,0.725819572994146,13.195546558577702,2828.132541708289
2020-04-21,70,64.14285714285714,6069,7084.0,0.703912222570718,13.303367687797504,2659.7646512426622
2020-04-22,73,61.142857142857146,12776,7222.857142857143,0.683791121027863,13.994167881438237,2628.3370858272147
2020-04-23,60,59.42857142857143,4041,6565.714285714285,0.612632641541073,13.145962366088389,1483.4958437310659
2020-04-24,79,58.57142857142857,6851,7223.428571428572,0.621756531311305,13.275725891987362,1214.5810397173243
2020-04-25,62,52.57142857142857,8403,7341.857142857143,0.674317291536698,12.128563015309213,1212.9083616982575
2020-04-26,35,47.714285714285715,6542,6932.857142857143,0.730268502665811,14.037849710329425,1267.6031858332851
2020-04-27,70,44.42857142857143,4906,6674.857142857143,0.750286916811866,18.584610706227902,1485.895057683745
2020-04-28,49,38.714285714285715,7041,6647.714285714285,0.753085748961301,15.78167369101883,1519.3183353338538
2020-04-29,61,39.42857142857143,8176,6615.0,0.77037852682834,16.334513354569587,1512.9499094720315
2020-04-30,54,37.285714285714285,8645,6357.142857142857,0.78850766113883,14.209798286637948,1372.1986974582514
2020-05-01,37,35.0,7680,5927.857142857143,0.822656805041419,12.524262168173536,1012.1056450463528
2020-05-02,28,36.857142857142854,5540,5712.857142857143,0.854898459871633,13.600720269042176,740.4636440523365
2020-05-03,12,37.142857142857146,4736,6010.142857142857,0.834905631575177,13.431610598335038,987.8174250873095
2020-05-04,30,37.57142857142857,4716,6021.857142857143,0.825805035950626,12.647497130795065,973.0134969804491
2020-05-05,54,42.714285714285715,6812,5773.285714285715,0.843640409668455,15.51694268224516,1402.3834521766062
2020-05-06,46,40.42857142857143,6371,6204.428571428572,0.870782422868096,14.850273137046939,1994.4053791359797
2020-05-07,38,41.285714285714285,5640,6285.428571428572,0.849095879284175,15.313059652413274,2010.970757558424
2020-05-08,50,43.57142857142857,6175,6673.142857142857,0.869600634292593,15.837181773617813,2108.4244915895597
2020-05-09,30,48.0,7621,6754.571428571428,0.897399120759332,20.6259198929059,2098.5974811180686
2020-05-10,15,45.857142857142854,4818,6529.0,0.84181375918258,23.024388134749465,2078.105662101218
2020-05-11,66,47.42857142857143,2976,6571.571428571428,0.908282067856818,21.165046271470075,2045.4138147253695
2020-05-12,38,46.285714285714285,9830,6655.0,0.900493490616012,20.330935511567347,1904.0832064652157
2020-05-13,52,49.57142857142857,6938,6160.142857142857,0.924670704010063,20.58332989066043,1397.3158379623442
2020-05-14,54,46.42857142857143,8354,6191.428571428572,0.979669127866565,21.625759394475725,1416.6989656181986
2020-05-15,81,43.142857142857146,6745,5861.571428571428,1.09087503927512,21.970295345102222,1110.4913786431734
2020-05-16,15,35.57142857142857,6042,5591.0,1.09280200708619,15.918158031067565,1092.878505860294
2020-05-17,26,36.857142857142854,5116,5567.142857142857,1.06109665986394,14.505452880393156,1084.5640899947418
2020-05-18,58,37.57142857142857,3560,5621.142857142857,1.04862065693151,14.06979685970872,1070.0709493929335
2020-05-19,61,32.857142857142854,6366,5610.285714285715,1.05643200534555,11.776836483157114,1091.1073947777898
2020-05-20,30,27.285714285714285,7157,5535.714285714285,1.02960896257726,3.368521749300456,1054.121125364052
2020-05-21,31,30.142857142857142,6045,5587.714285714285,0.981348153562947,8.708428945216099,1138.4239373908517
2020-05-22,28,28.428571428571427,4851,5962.142857142857,0.976549496970521,9.514757603055264,1574.6844970679435
2020-05-23,24,30.428571428571427,5875,6259.142857142857,0.999059475601869,10.621503025966346,1532.6011901872141
